ContainerName,Environment,PrincipalName,PrincipalType,PrincipalRole,AccessControlType,Notes,Toepasproject
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj01,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj02,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj03,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj04,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj05,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj06,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj07,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj08,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj09,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj10,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj11,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj12,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj13,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj14,appregistration,contributor,user,nieuw,KKC
cba-360kb-aps-d,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
cba-360kb-are-d,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
cba-360kb-bnk-d,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
cba-360kb-cci-d,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
cba-360kb-dpl-d,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
cba-360kb-si-d,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
cba-360kb-zk-d,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
cba-cciklantbeeld-d,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
cba-cs006-sandbox-s,a,dtaa009-cs-weu-a01-006-saj15,appregistration,contributor,user,nieuw,KKC
